N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;59;118;39;35;6,7;4;180;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
2;68;0;0;10;1,17;4;270;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
3;92,5;0;27;27;7,6;4;150;1;0;25/04/2018;1 Ouest;95;1;26,5;SO
4;94;0;27;22;1,8;4;270;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
1;33,5;0;0;11;0,53;5;30;0;0;25/04/2018;1 Ouest;95;2;296,5;SE
2;34,9;0;0;10;0,66;5;0;0;0;25/04/2018;1 Ouest;95;2;296,5;SE
3;38,5;0;28;35;7;5;210;1;0;25/04/2018;1 Ouest;95;2;296,5;SE
4;47;0;0;25;33,5;3;30;1;0;25/04/2018;1 Ouest;95;2;296,5;SE
5;53,6;0;0;20;1,55;5;0;1;0;25/04/2018;1 Ouest;95;2;296,5;SE
6;54,8;0;0;13;2,3;5;0;1;0;25/04/2018;1 Ouest;95;2;296,5;SE
7;70;0;12;13;1,6;4;270;0;0;25/04/2018;1 Ouest;95;2;296,5;SE
8;74;0;17;17;2,84;4;300;0;0;25/04/2018;1 Ouest;95;2;296,5;SE
1;18,9;0;0;53;2,4;4;330;1;0;25/04/2018;1 Ouest;95;3;206,5;NE
2;29;46;11;17;0,36;3;90;0;0;25/04/2018;1 Ouest;95;3;206,5;NE
1;26,8;0;0;22;5,7;5;60;1;0;25/04/2018;1 Ouest;95;4;116,5;NO
2;37;0;0;15;6,8;4;180;1;0;25/04/2018;1 Ouest;95;4;116,5;NO
3;56;0;0;32;8;5;180;1;0;25/04/2018;1 Ouest;95;4;116,5;NO
4;67;0;0;14;1,23;5;30;0;0;25/04/2018;1 Ouest;95;4;116,5;NO
5;67,5;0;0;11;0,76;5;30;0;0;25/04/2018;1 Ouest;95;4;116,5;NO
6;69;0;0;11;14,5;2;30;1;0;25/04/2018;1 Ouest;95;4;116,5;NO
